producer_id,total_images,total_messages,last_active
1719641222,5,0,2025-02-20
1802010075,1,0,2025-02-20
1971583835,6,0,2025-02-20
5117801323,0,4,2025-03-08
5414211582,36,13,2025-03-08
5564709136,1,0,2025-02-23
6250270020,1,2,2025-03-07
6264149139,2,11,2025-03-07
6438781124,0,2,2025-03-03
6574267398,3,6,2025-03-03
6603015228,0,7,2025-03-08
6604338716,0,3,2025-03-03
6649556826,0,6,2025-03-05
6817746655,0,3,2025-03-06
6857309387,0,0,
6864556973,0,2,2025-03-04
6941463470,4,0,2025-02-19
7028660065,0,1,2025-03-03
7065604116,1,8,2025-03-04
7124711141,1,9,2025-03-04
7157944163,3,3,2025-03-08
7187684863,8,16,2025-03-07
7545732959,4,3,2025-03-08
7602700001,2,6,2025-03-03
7629398452,0,12,2025-03-06
7647735287,0,2,2025-03-03
7666687488,0,6,2025-03-04
7716560266,0,1,2025-03-03
7744596852,4,5,2025-03-06
7789935403,0,2,2025-03-03
7815639897,2,3,2025-03-03
7815780411,1,5,2025-03-05
7821465450,0,1,2025-03-03
7896640647,0,10,2025-03-06
7898855226,4,0,2025-02-21
7937828970,0,3,2025-03-08
8034943837,0,4,2025-03-03
8042476054,0,6,2025-03-07
8081731905,0,5,2025-03-03
8158994934,5,1,2025-02-25
