producer_id,total_images,total_messages
1719641222,5,0
1802010075,1,0
1971583835,6,0
5117801323,0,4
5414211582,36,13
5564709136,1,0
6250270020,1,2
6264149139,2,11
6438781124,0,2
6574267398,3,6
6603015228,0,7
6604338716,0,3
6649556826,0,6
6817746655,0,3
6857309387,0,0
6864556973,0,2
6941463470,4,0
7028660065,0,1
7065604116,1,8
7124711141,1,9
7157944163,3,3
7187684863,8,16
7545732959,4,3
7602700001,2,6
7629398452,0,12
7647735287,0,2
7666687488,0,6
7716560266,0,1
7744596852,4,5
7789935403,0,2
7815639897,2,3
7815780411,1,5
7821465450,0,1
7896640647,0,10
7898855226,4,0
7937828970,0,3
8034943837,0,4
8042476054,0,6
8081731905,0,5
8158994934,5,1
